4g,,,,
,1,2,3,avg
cartoon,63741.8,59940.4,70378.2,64.6868
cat,68716.6,80779.3,63888.1,71.128
facefeature,93393.8,60466.9,55678,69.8462333333333
facelm,51522.1,59010.8,102438,70.9903
faceswap,91542.1,75390.9,83724.8,83.5526
gradientmagnify,11550.4,16347.2,13299.9,13.7325
grayscale,10701.2,12782.5,12179.1,11.8876
motionhistory,20071.5,18969.5,21218.3,20.0864333333333
negative,13096.6,9376.85,11963.2,11.4788833333333
sepia,9219.25,10302.9,12714,10.7453833333333
,,,,
wifi,,,,
,1,2,3,avg
cartoon,76654.4,93037.1,62874.4,77.5219666666667
cat,119046,98179,97515.5,104.9135
facefeature,94937.8,107500,83075.9,95.1712333333333
facelm,92928.8,106110,113891,104.309933333333
faceswap,93439.2,83054.4,89884.3,88.7926333333333
gradientmagnify,15246.9,14505,14420.7,14.7242
grayscale,13289.4,13675.1,13494.1,13.4862
motionhistory,19388.6,20686.9,18527.8,19.5344333333333
negative,12251.2,12086,11278.4,11.8718666666667
sepia,11799.7,11071.4,11577.1,11.4827333333333
